zip_id,hub_id,part_id
Z00001,H003,P0012
Z00001,H003,P0016
Z00001,H003,P0040
Z00001,H003,P0044
Z00001,H003,P0050
Z00001,H003,P0064
Z00001,H003,P0070
Z00001,H003,P0088
Z00001,H003,P0103
Z00001,H003,P0111
Z00001,H003,P0120
Z00001,H003,P0146
Z00001,H003,P0148
Z00002,H016,P0002
Z00002,H016,P0005
Z00002,H016,P0014
Z00002,H016,P0019
Z00002,H016,P0023
Z00002,H016,P0024
Z00002,H016,P0025
Z00002,H016,P0026
Z00002,H016,P0030
Z00002,H016,P0040
Z00002,H016,P0050
Z00002,H016,P0063
Z00002,H016,P0064
Z00002,H016,P0067
Z00002,H016,P0093
Z00002,H016,P0104
Z00002,H016,P0110
Z00002,H016,P0111
Z00002,H016,P0123
Z00002,H016,P0148
Z00003,H003,P0002
Z00003,H003,P0009
Z00003,H003,P0010
Z00003,H003,P0012
Z00003,H003,P0020
Z00003,H003,P0022
Z00003,H003,P0027
Z00003,H003,P0045
Z00003,H003,P0049
Z00003,H003,P0063
Z00003,H003,P0073
Z00003,H003,P0078
Z00003,H003,P0146
Z00003,H003,P0148
Z00004,H015,P0040
Z00004,H015,P0078
Z00004,H015,P0091
Z00004,H015,P0133
Z00004,H015,P0143
Z00004,H015,P0147
Z00004,H015,P0148
Z00004,H015,P0149
Z00005,H002,P0005
Z00005,H002,P0009
Z00005,H002,P0022
Z00005,H002,P0039
Z00005,H002,P0044
Z00005,H002,P0056
Z00005,H002,P0060
Z00005,H002,P0064
Z00005,H002,P0067
Z00005,H002,P0107
Z00005,H002,P0142
Z00005,H002,P0146
Z00006,H002,P0010
Z00006,H002,P0013
Z00006,H002,P0051
Z00006,H002,P0080
Z00006,H002,P0086
Z00006,H002,P0089
Z00006,H002,P0099
Z00006,H002,P0100
Z00006,H002,P0101
Z00006,H002,P0108
Z00006,H002,P0115
Z00006,H002,P0116
Z00006,H002,P0124
Z00006,H002,P0134
Z00006,H002,P0137
Z00006,H002,P0147
Z00006,H002,P0149
Z00007,H004,P0013
Z00007,H004,P0015
Z00007,H004,P0022
Z00007,H004,P0039
Z00007,H004,P0040
Z00007,H004,P0041
Z00007,H004,P0045
Z00007,H004,P0051
Z00007,H004,P0052
Z00007,H004,P0058
Z00007,H004,P0062
Z00007,H004,P0064
Z00007,H004,P0065
Z00007,H004,P0076
Z00007,H004,P0084
Z00007,H004,P0087
