zip_id,hub_id,d_ij
Z00001,H001,2700.16
Z00001,H002,3100.25
Z00001,H003,1277.35
Z00001,H004,67.74
Z00001,H005,5602.57
Z00001,H006,10904.71
Z00001,H007,4968.82
Z00001,H008,1106.05
Z00001,H009,4746.31
Z00001,H010,3772.97
Z00001,H011,1058.2
Z00001,H012,6385.32
Z00001,H013,4667.39
Z00001,H014,9489.05
Z00001,H015,639.46
Z00001,H016,7245.46
Z00001,H017,763.88
Z00001,H018,5712.8
Z00001,H019,5023.23
Z00001,H020,5753.1
Z00001,H021,1725.32
Z00001,H022,5382.34
Z00001,H023,3909.73
Z00001,H024,5365.22
Z00001,H025,1267.27
Z00001,H026,6164.17
Z00001,H027,6094.71
Z00001,H028,4032.24
Z00001,H029,1907.87
Z00001,H030,2102.41
Z00001,H031,1706.27
Z00001,H032,1051.62
Z00001,H033,7059.39
Z00001,H034,4959.65
Z00001,H035,1488.84
Z00001,H036,5420.93
Z00001,H037,5339.03
Z00001,H038,6258.68
Z00001,H039,3636.16
Z00001,H040,364.34
Z00001,H041,6165.73
Z00001,H042,1532.98
Z00001,H043,4494.55
Z00001,H044,5761.77
Z00001,H045,2734.47
Z00001,H046,3967.84
Z00001,H047,5482.48
Z00001,H048,1570.06
Z00001,H049,2530.84
Z00001,H050,2916.51
Z00001,H051,7264.83
Z00001,H052,1714.93
Z00001,H053,1418.43
Z00001,H054,6828.28
Z00001,H055,1413.45
Z00001,H056,6019.45
Z00001,H057,9350.4
Z00001,H058,6942.6
Z00001,H059,5769.61
Z00001,H060,840.87
Z00001,H061,5426.69
Z00001,H062,6670.37
Z00001,H063,4655.31
Z00001,H064,3268.9
Z00001,H065,862.45
Z00001,H066,2900.54
Z00001,H067,3157.77
Z00001,H068,4857.3
Z00001,H069,5789.73
Z00001,H070,1560.17
Z00001,H071,1234.61
Z00001,H072,7700.41
Z00001,H073,4937.43
Z00001,H074,6676.84
Z00001,H075,6239.14
Z00001,H076,889.45
Z00001,H077,3343.32
Z00001,H078,6022.76
Z00001,H079,1692.97
Z00001,H080,588.18
Z00001,H081,6251.07
Z00001,H082,6712.16
Z00001,H083,7778.93
Z00001,H084,6212.3
Z00001,H085,6102.4
Z00001,H086,5301.47
Z00001,H087,5326.03
Z00001,H088,5674.6
Z00001,H089,5616.78
Z00001,H090,1443.26
Z00001,H091,9580.06
Z00001,H092,5594.91
Z00001,H093,1579.39
Z00001,H094,811.43
Z00001,H095,5908.87
Z00001,H096,4963.26
Z00001,H097,6014.47
Z00001,H098,734.06
Z00001,H099,941.44
Z00001,H100,5060.7
Z00002,H001,5414.97
Z00002,H002,8548.84
Z00002,H003,4575.32
Z00002,H004,5787.83
Z00002,H005,560.57
Z00002,H006,8096.58
Z00002,H007,9649.1
Z00002,H008,4642.67
Z00002,H009,7723.23
Z00002,H010,9315.86
Z00002,H011,4915.78
Z00002,H012,1560.93
Z00002,H013,1200.44
Z00002,H014,9200.3
Z00002,H015,5277.87
Z00002,H016,4457.7
Z00002,H017,6439.89
Z00002,H018,2456.35
Z00002,H019,7668.31
Z00002,H020,1401.62
Z00002,H021,4267.78
Z00002,H022,599.12
Z00002,H023,9391.58
Z00002,H024,1142.23
Z00002,H025,4814.26
Z00002,H026,1095.12
Z00002,H027,1699.61
Z00002,H028,8895.89
Z00002,H029,7611.22
Z00002,H030,7778.33
Z00002,H031,4105.18
Z00002,H032,4773.64
Z00002,H033,1533.01
Z00002,H034,9123.78
Z00002,H035,5120.28
Z00002,H036,9814.25
Z00002,H037,8927.81
Z00002,H038,962.38
Z00002,H039,9072.21
Z00002,H040,5922.97
Z00002,H041,10958.96
Z00002,H042,7184.17
Z00002,H043,8047.65
Z00002,H044,1207.81
Z00002,H045,8255.16
Z00002,H046,8951.72
Z00002,H047,10379.88
Z00002,H048,7258.21
Z00002,H049,5607.32
Z00002,H050,8079.84
Z00002,H051,2676.62
Z00002,H052,4104.03
Z00002,H053,4377.38
Z00002,H054,2326.14
Z00002,H055,4362.54
Z00002,H056,9262.19
Z00002,H057,9725.77
Z00002,H058,1313.21
Z00002,H059,58.73
Z00002,H060,4894.49
Z00002,H061,1468.54
Z00002,H062,1262.23
Z00002,H063,1353.74
Z00002,H064,8794.29
Z00002,H065,4940.82
Z00002,H066,7904.16
Z00002,H067,8333.55
Z00002,H068,1033.76
Z00002,H069,7608.76
Z00002,H070,4668.35
Z00002,H071,4521.42
Z00002,H072,11414.57
Z00002,H073,963.79
Z00002,H074,1969.76
Z00002,H075,2678.13
Z00002,H076,5015.81
Z00002,H077,8859.87
Z00002,H078,4212.05
Z00002,H079,7415.21
Z00002,H080,5134.97
Z00002,H081,2064.0
Z00002,H082,2575.56
Z00002,H083,4192.85
Z00002,H084,4117.93
Z00002,H085,2701.55
Z00002,H086,7671.95
Z00002,H087,8198.89
Z00002,H088,10489.87
Z00002,H089,1021.36
Z00002,H090,4924.02
Z00002,H091,9371.46
Z00002,H092,8592.0
Z00002,H093,7091.71
Z00002,H094,6533.39
Z00002,H095,7418.49
Z00002,H096,1179.54
Z00002,H097,2771.29
Z00002,H098,5144.96
Z00002,H099,5220.36
Z00002,H100,867.92
Z00003,H001,8677.45
Z00003,H002,4118.02
Z00003,H003,5884.88
Z00003,H004,6011.6
Z00003,H005,6916.25
Z00003,H006,5380.47
Z00003,H007,2865.27
Z00003,H008,6583.44
Z00003,H009,1380.53
Z00003,H010,4175.29
Z00003,H011,5652.99
Z00003,H012,8931.21
Z00003,H013,6784.2
Z00003,H014,4338.03
Z00003,H015,5731.7
Z00003,H016,11362.41
Z00003,H017,6039.35
Z00003,H018,5018.97
Z00003,H019,9167.33
Z00003,H020,8866.31
Z00003,H021,7318.46
Z00003,H022,6948.65
Z00003,H023,4018.81
Z00003,H024,6361.82
Z00003,H025,5512.66
Z00003,H026,6503.0
Z00003,H027,5841.4
Z00003,H028,3078.38
Z00003,H029,5203.21
Z00003,H030,5005.06
Z00003,H031,6068.77
Z00003,H032,5911.52
Z00003,H033,6787.03
Z00003,H034,2292.36
Z00003,H035,4971.06
Z00003,H036,2674.8
Z00003,H037,1791.42
Z00003,H038,6711.56
Z00003,H039,3967.03
Z00003,H040,5663.17
Z00003,H041,3551.05
Z00003,H042,6000.32
Z00003,H043,8436.1
Z00003,H044,6271.28
Z00003,H045,4372.36
Z00003,H046,3232.75
Z00003,H047,3287.51
Z00003,H048,5242.33
Z00003,H049,8468.58
Z00003,H050,3773.15
Z00003,H051,9629.31
Z00003,H052,7037.28
Z00003,H053,6052.98
Z00003,H054,5499.54
Z00003,H055,6800.51
Z00003,H056,1819.24
Z00003,H057,4982.65
Z00003,H058,7046.57
Z00003,H059,7511.57
Z00003,H060,6148.82
Z00003,H061,6016.2
Z00003,H062,6695.41
Z00003,H063,6534.21
Z00003,H064,4229.76
Z00003,H065,5934.39
Z00003,H066,7047.9
Z00003,H067,3692.4
Z00003,H068,6816.06
Z00003,H069,286.0
Z00003,H070,5336.07
Z00003,H071,6148.12
Z00003,H072,4841.62
Z00003,H073,6832.74
Z00003,H074,5810.92
Z00003,H075,4879.55
Z00003,H076,5748.44
Z00003,H077,4192.74
Z00003,H078,11627.05
Z00003,H079,5481.9
Z00003,H080,6233.25
Z00003,H081,5513.72
Z00003,H082,5163.44
Z00003,H083,10654.76
Z00003,H084,11586.04
Z00003,H085,4823.34
Z00003,H086,790.63
Z00003,H087,1122.1
Z00003,H088,3276.13
Z00003,H089,6451.28
Z00003,H090,5189.41
Z00003,H091,4752.88
