part_id,P_k
P0001,176.76
P0002,108.69
P0003,166.06
P0004,34.77
P0005,362.15
P0006,121.39
P0007,145.2
P0008,266.5
P0009,84.25
P0010,1446.53
P0011,430.68
P0012,424.22
P0013,160.44
P0014,73.83
P0015,219.64
P0016,72.66
P0017,172.71
P0018,172.97
P0019,425.6
P0020,208.21
P0021,160.14
P0022,487.96
P0023,126.13
P0024,86.75
P0025,88.44
P0026,519.91
P0027,144.07
P0028,83.54
P0029,24.05
P0030,54.73
P0031,185.5
P0032,237.18
P0033,625.97
P0034,74.81
P0035,219.22
P0036,449.44
P0037,17.9
P0038,1120.7
P0039,50.38
P0040,50.33
P0041,324.42
P0042,203.23
P0043,418.05
P0044,251.54
P0045,183.89
P0046,125.04
P0047,69.69
P0048,238.05
P0049,24.84
P0050,118.64
P0051,282.75
P0052,49.66
P0053,298.7
P0054,338.47
P0055,150.09
P0056,122.12
P0057,230.63
P0058,249.7
P0059,111.85
P0060,895.67
P0061,551.94
P0062,346.54
P0063,493.96
P0064,455.68
P0065,40.42
P0066,1384.54
P0067,38.17
P0068,169.5
P0069,51.69
P0070,248.21
P0071,208.78
P0072,174.63
P0073,10.56
P0074,289.71
P0075,176.16
P0076,22.06
P0077,547.47
P0078,122.32
P0079,70.79
P0080,207.1
P0081,86.42
P0082,199.76
P0083,101.1
P0084,62.38
P0085,50.01
P0086,290.19
P0087,153.68
P0088,70.94
P0089,82.9
P0090,63.37
P0091,978.89
P0092,197.85
P0093,165.25
P0094,554.13
P0095,78.23
P0096,52.21
P0097,88.93
P0098,163.61
P0099,116.52
P0100,102.53
P0101,160.46
P0102,93.53
P0103,51.65
P0104,272.0
P0105,108.64
P0106,105.85
P0107,219.55
P0108,200.89
P0109,49.86
P0110,70.56
P0111,38.73
P0112,46.06
P0113,179.88
P0114,87.55
P0115,58.07
P0116,40.87
P0117,426.37
P0118,92.96
P0119,167.35
P0120,125.87
P0121,57.25
P0122,199.54
P0123,151.15
P0124,439.66
P0125,230.7
P0126,43.35
P0127,119.49
P0128,121.12
P0129,124.87
P0130,43.48
P0131,29.33
P0132,118.62
P0133,182.63
P0134,45.36
P0135,716.52
P0136,241.63
P0137,85.95
P0138,851.47
P0139,33.81
P0140,53.6
P0141,50.65
P0142,386.97
P0143,68.49
P0144,260.73
P0145,168.49
P0146,79.12
P0147,151.11
P0148,46.16
P0149,286.51
P0150,55.17
