part_id,current_home_hub
P0001,H009
P0002,H009
P0003,H098
P0004,H016
P0005,H019
P0006,H066
P0007,H060
P0008,H012
P0009,H014
P0010,H071
P0011,H038
P0012,H060
P0013,H052
P0014,H059
P0015,H040
P0016,H043
P0017,H032
P0018,H061
P0019,H007
P0020,H085
P0021,H037
P0022,H041
P0023,H061
P0024,H038
P0025,H031
P0026,H006
P0027,H087
P0028,H061
P0029,H041
P0030,H032
P0031,H016
P0032,H046
P0033,H075
P0034,H079
P0035,H028
P0036,H094
P0037,H052
P0038,H044
P0039,H019
P0040,H032
P0041,H067
P0042,H041
P0043,H043
P0044,H006
P0045,H019
P0046,H075
P0047,H015
P0048,H060
P0049,H073
P0050,H088
P0051,H012
P0052,H059
P0053,H014
P0054,H054
P0055,H021
P0056,H038
P0057,H003
P0058,H006
P0059,H085
P0060,H098
P0061,H040
P0062,H036
P0063,H068
P0064,H012
P0065,H068
P0066,H056
P0067,H033
P0068,H090
P0069,H018
P0070,H017
P0071,H096
P0072,H021
P0073,H080
P0074,H040
P0075,H017
P0076,H087
P0077,H051
P0078,H033
P0079,H020
P0080,H031
P0081,H006
P0082,H075
P0083,H078
P0084,H036
P0085,H037
P0086,H037
P0087,H009
P0088,H041
P0089,H009
P0090,H014
P0091,H041
P0092,H038
P0093,H018
P0094,H044
P0095,H090
P0096,H018
P0097,H037
P0098,H093
P0099,H031
P0100,H020
P0101,H044
P0102,H037
P0103,H037
P0104,H066
P0105,H091
P0106,H032
P0107,H006
P0108,H060
P0109,H067
P0110,H037
P0111,H087
P0112,H089
P0113,H090
P0114,H094
P0115,H032
P0116,H085
P0117,H084
P0118,H054
P0119,H054
P0120,H078
P0121,H071
P0122,H010
P0123,H071
P0124,H091
P0125,H011
P0126,H094
P0127,H044
P0128,H018
P0129,H066
P0130,H068
P0131,H059
P0132,H078
P0133,H008
P0134,H090
P0135,H020
P0136,H085
P0137,H087
P0138,H078
P0139,H098
P0140,H091
P0141,H031
P0142,H098
P0143,H016
P0144,H093
P0145,H080
P0146,H087
P0147,H079
P0148,H049
P0149,H008
P0150,H043
