zip_id,part_id,Q_ik,b_ik
Z00001,P0008,1,2
Z00001,P0031,1,2
Z00001,P0047,1,7
Z00001,P0050,1,2
Z00001,P0065,1,2
Z00001,P0066,1,3
Z00001,P0069,1,3
Z00001,P0071,1,1
Z00001,P0093,1,1
Z00001,P0108,1,3
Z00001,P0131,1,6
Z00002,P0015,1,2
Z00002,P0018,1,4
Z00002,P0023,1,3
Z00002,P0033,1,1
Z00002,P0034,1,1
Z00002,P0041,1,2
Z00002,P0050,1,2
Z00002,P0072,1,2
Z00002,P0084,1,3
Z00002,P0088,1,2
Z00002,P0091,1,1
Z00002,P0094,1,1
Z00002,P0100,1,2
Z00002,P0101,1,1
Z00002,P0105,1,3
Z00002,P0121,1,3
Z00002,P0129,1,1
Z00002,P0135,1,2
Z00002,P0145,1,4
Z00002,P0146,1,3
Z00003,P0018,1,8
Z00003,P0037,1,1
Z00003,P0047,1,1
Z00003,P0068,1,2
Z00003,P0079,1,5
Z00003,P0095,1,1
Z00003,P0119,1,1
Z00003,P0124,1,3
Z00003,P0125,1,1
Z00003,P0129,1,4
Z00003,P0131,1,4
Z00003,P0144,1,2
Z00003,P0150,1,2
Z00004,P0022,1,1
Z00004,P0025,1,3
Z00004,P0028,1,3
Z00004,P0032,1,4
Z00004,P0047,1,3
Z00004,P0061,1,5
Z00004,P0067,1,3
Z00004,P0068,1,3
Z00004,P0083,1,3
Z00004,P0088,1,4
Z00004,P0124,1,6
Z00004,P0139,1,2
Z00004,P0145,1,4
Z00005,P0003,1,5
Z00005,P0007,1,2
Z00005,P0023,1,7
Z00005,P0031,1,1
Z00005,P0049,1,2
Z00005,P0061,1,2
Z00005,P0069,1,3
Z00005,P0071,1,3
Z00005,P0077,1,1
Z00005,P0086,1,2
Z00005,P0098,1,2
Z00005,P0131,1,4
Z00005,P0145,1,3
Z00006,P0007,1,4
Z00006,P0045,1,5
Z00006,P0049,1,1
Z00006,P0050,1,1
Z00006,P0051,1,3
Z00006,P0058,1,1
Z00006,P0060,1,2
Z00006,P0089,1,4
Z00006,P0093,1,1
Z00006,P0096,1,2
Z00006,P0097,1,2
Z00006,P0100,1,2
Z00007,P0013,1,2
Z00007,P0014,1,3
Z00007,P0018,1,1
Z00007,P0021,1,1
Z00007,P0081,1,2
Z00007,P0083,1,2
Z00007,P0122,1,2
Z00007,P0147,1,2
Z00008,P0003,1,2
Z00008,P0006,1,3
Z00008,P0018,1,2
Z00008,P0027,1,5
Z00008,P0028,1,4
Z00008,P0033,1,1
Z00008,P0044,1,2
Z00008,P0048,1,2
Z00008,P0063,1,2
Z00008,P0065,1,2
Z00008,P0067,1,5
Z00008,P0069,1,3
Z00008,P0084,1,3
Z00008,P0099,1,3
Z00008,P0100,1,4
Z00008,P0119,1,2
Z00008,P0124,1,2
Z00008,P0129,1,2
Z00008,P0131,1,3
Z00008,P0136,1,2
Z00008,P0149,1,2
Z00008,P0150,1,2
Z00009,P0003,1,4
Z00009,P0010,1,4
Z00009,P0018,1,3
Z00009,P0027,1,3
Z00009,P0030,1,1
Z00009,P0036,1,1
Z00009,P0038,1,1
Z00009,P0045,1,2
Z00009,P0050,1,1
Z00009,P0064,1,2
Z00009,P0065,1,2
Z00009,P0069,1,3
Z00009,P0078,1,4
Z00009,P0089,1,1
Z00009,P0092,1,3
Z00009,P0108,1,3
Z00009,P0141,1,1
Z00010,P0003,1,5
Z00010,P0007,1,2
Z00010,P0016,1,2
Z00010,P0017,1,2
Z00010,P0025,1,1
Z00010,P0040,1,3
Z00010,P0052,1,7
Z00010,P0059,1,1
Z00010,P0064,1,4
Z00010,P0074,1,2
Z00010,P0088,1,2
Z00010,P0092,1,3
Z00010,P0099,1,4
Z00010,P0109,1,1
Z00010,P0119,1,2
Z00010,P0127,1,1
Z00010,P0131,1,3
Z00010,P0146,1,3
Z00011,P0003,1,4
Z00011,P0005,1,1
Z00011,P0007,1,4
Z00011,P0025,1,3
Z00011,P0043,1,2
Z00011,P0045,1,3
Z00011,P0049,1,1
Z00011,P0052,1,6
Z00011,P0053,1,1
Z00011,P0071,1,6
Z00011,P0079,1,2
Z00011,P0086,1,2
Z00011,P0098,1,3
Z00011,P0099,1,1
Z00011,P0101,1,4
Z00011,P0110,1,2
Z00011,P0142,1,2
Z00012,P0003,1,5
Z00012,P0010,1,4
Z00012,P0069,1,4
Z00012,P0076,1,2
Z00012,P0079,1,3
Z00012,P0083,1,2
Z00012,P0093,1,3
Z00012,P0096,1,2
Z00012,P0110,1,2
Z00012,P0119,1,4
Z00012,P0122,1,1
Z00012,P0129,1,2
Z00012,P0131,1,2
Z00012,P0145,1,2
Z00013,P0002,1,4
Z00013,P0007,1,2
Z00013,P0016,1,2
Z00013,P0048,1,1
Z00013,P0055,1,1
Z00013,P0079,1,3
Z00013,P0110,1,3
Z00014,P0007,1,5
