hub_id,anchor_id,anchor_city,lat,lon,region_code,T_j,B_j
H001,GH_ACCRA,Accra,5.6037,-0.187,EMEA,0,128
H002,IN_GJ_AHMEDABAD,Ahmedabad,23.0225,72.5714,APAC,0,90
H003,NL_AMSTERDAM,Amsterdam,52.3676,4.9041,EMEA,1,53
H004,GR_ATHENS,Athens,37.9838,23.7275,EMEA,1,128
H005,US_GA_ATLANTA,Atlanta,33.749,-84.388,NAM,0,90
H006,NZ_AUCKLAND,Auckland,-36.8485,174.7633,APAC,1,90
H007,TH_BANGKOK,Bangkok,13.7563,100.5018,APAC,1,53
H008,ES_BARCELONA,Barcelona,41.3851,2.1734,EMEA,1,128
H009,CN_BEIJING,Beijing,39.9042,116.4074,APAC,1,90
H010,IN_KA_BENGALURU,Bengaluru,12.9716,77.5946,APAC,1,90
H011,DE_BERLIN,Berlin,52.52,13.405,EMEA,1,53
H012,CO_DC_BOGOTA,Bogota,4.711,-74.0721,LATAM,1,128
H013,US_MA_BOSTON,Boston,42.3601,-71.0589,NAM,0,90
H014,AU_QLD_BRISBANE,Brisbane,-27.4698,153.0251,APAC,1,90
H015,HU_BUDAPEST,Budapest,47.4979,19.0402,EMEA,1,128
H016,AR_BA_BUENOS_AIRES,Buenos Aires,-34.6037,-58.3816,LATAM,1,90
H017,EG_CAIRO,Cairo,30.0444,31.2357,EMEA,1,53
H018,CA_AB_CALGARY,Calgary,51.0447,-114.0719,NAM,1,53
H019,ZA_CAPE_TOWN,Cape Town,-33.9249,18.4241,EMEA,1,128
H020,VE_CARACAS,Caracas,10.4806,-66.9036,LATAM,1,128
H021,MA_CASABLANCA,Casablanca,33.5731,-7.5898,EMEA,1,53
H022,US_NC_CHARLOTTE,Charlotte,35.2271,-80.8431,NAM,0,53
H023,IN_TN_CHENNAI,Chennai,13.0827,80.2707,APAC,0,90
H024,US_IL_CHICAGO,Chicago,41.8781,-87.6298,NAM,0,90
H025,DK_COPENHAGEN,Copenhagen,55.6761,12.5683,EMEA,1,90
H026,US_TX_DALLAS,Dallas,32.7767,-96.797,NAM,1,90
H027,US_CO_DENVER,Denver,39.7392,-104.9903,NAM,1,53
H028,BD_DHAKA,Dhaka,23.8103,90.4125,APAC,1,90
H029,QA_DOHA,Doha,25.2854,51.531,EMEA,0,90
H030,AE_DUBAI,Dubai,25.2048,55.2708,EMEA,1,53
H031,IE_DUBLIN,Dublin,53.3498,-6.2603,EMEA,1,90
H032,DE_FRANKFURT,Frankfurt,50.1109,8.6821,EMEA,1,90
H033,MX_JAL_GUADALAJARA,Guadalajara,20.6597,-103.3496,LATAM,1,53
H034,VN_HANOI,Hanoi,21.0285,105.8542,APAC,0,128
H035,FI_HELSINKI,Helsinki,60.1695,24.9354,EMEA,1,90
H036,VN_HO_CHI_MINH_CITY,Ho Chi Minh City,10.8231,106.6297,APAC,1,90
