zip_id,lat,lon,region_code
Z00001,-27.507061,153.249967,APAC
Z00002,23.057109,72.26605,APAC
Z00003,33.27078,-96.364999,NAM
Z00004,14.434867,120.701179,APAC
Z00005,50.965634,15.505134,EMEA
Z00006,-23.050568,-46.23622,LATAM
Z00007,-35.04512,-59.147535,LATAM
Z00008,34.707703,53.921842,EMEA
Z00009,52.44832,6.355218,EMEA
Z00010,48.837692,2.471116,EMEA
Z00011,13.558154,76.16239,APAC
Z00012,2.264522,100.410623,APAC
Z00013,46.23406,-122.77123,NAM
Z00014,40.185485,-1.489226,EMEA
Z00015,35.679903,49.888434,EMEA
Z00016,48.166878,18.118388,EMEA
Z00017,-33.801773,21.204254,EMEA
Z00018,45.563383,11.799116,EMEA
Z00019,-6.405815,106.898679,APAC
Z00020,60.355176,9.000757,EMEA
Z00021,-34.112552,-56.54345,LATAM
Z00022,44.829823,8.944832,EMEA
Z00023,37.753473,126.750808,APAC
Z00024,36.005297,-79.912146,NAM
Z00025,11.110678,77.140875,APAC
Z00026,6.9257,2.76744,EMEA
Z00027,42.400012,2.236024,EMEA
Z00028,37.997821,23.391277,EMEA
Z00029,35.34925,141.088998,APAC
Z00030,35.906129,139.719623,APAC
Z00031,22.403,114.036939,APAC
Z00032,41.035464,1.095626,EMEA
Z00033,50.48291,3.139945,EMEA
Z00034,45.976246,-121.009067,NAM
Z00035,16.60119,121.880921,APAC
Z00036,35.701814,52.125136,EMEA
Z00037,33.865831,-95.448963,NAM
Z00038,47.227714,-121.740634,NAM
Z00039,52.212826,13.957487,EMEA
Z00040,40.196172,-3.162895,EMEA
Z00041,15.541291,119.368986,APAC
Z00042,21.432393,71.752833,APAC
Z00043,-24.129579,-45.689248,LATAM
Z00044,44.895327,-120.556805,NAM
Z00045,-27.01329,151.984557,APAC
Z00046,36.603198,127.025816,APAC
Z00047,51.482241,-3.467726,EMEA
Z00048,52.134839,-0.209773,EMEA
Z00049,52.569079,11.149915,EMEA
Z00050,40.484823,-3.642038,EMEA
Z00051,45.541415,9.174845,EMEA
Z00052,27.41137,48.503061,EMEA
Z00053,55.365032,-5.17808,EMEA
Z00054,29.083602,49.141696,EMEA
Z00055,19.146344,79.016826,APAC
Z00056,22.723563,73.583122,APAC
Z00057,2.046476,99.530173,APAC
Z00058,21.394783,-102.343182,LATAM
Z00059,33.092254,-113.668417,NAM
Z00060,-37.200241,175.360313,APAC
Z00061,18.799945,72.380193,APAC
Z00062,42.185808,2.540924,EMEA
Z00063,38.04946,-78.177326,NAM
Z00064,-22.581893,-48.296854,LATAM
Z00065,48.117267,-123.321433,NAM
Z00066,5.289276,2.026833,EMEA
Z00067,49.345371,-0.302968,EMEA
Z00068,38.821056,-76.553092,NAM
Z00069,-25.620602,-47.081984,LATAM
Z00070,46.912779,-121.114584,NAM
Z00071,42.519542,-2.434483,EMEA
Z00072,46.654833,18.260532,EMEA
Z00073,12.110938,77.605305,APAC
Z00074,32.131896,-96.758501,NAM
Z00075,-22.76165,-46.809075,LATAM
Z00076,52.372594,5.416278,EMEA
Z00077,33.825796,-95.109969,NAM
Z00078,38.996072,-94.485459,NAM
Z00079,34.698077,140.607051,APAC
Z00080,20.560793,-103.440452,LATAM
Z00081,45.112362,-93.582843,NAM
Z00082,48.069946,16.452011,EMEA
Z00083,53.552575,7.981096,EMEA
Z00084,13.196086,77.217586,APAC
Z00085,4.130831,100.972966,APAC
Z00086,43.098538,-88.455639,NAM
Z00087,38.586435,-73.44286,NAM
Z00088,39.293446,-93.116647,NAM
Z00089,48.992427,18.975817,EMEA
Z00090,-34.33995,20.080088,EMEA
Z00091,51.592058,-0.188346,EMEA
Z00092,47.91939,17.326536,EMEA
Z00093,-32.885985,151.226617,APAC
Z00094,34.817205,52.417954,EMEA
Z00095,39.844189,-92.657335,NAM
Z00096,59.673297,14.065777,EMEA
Z00097,40.716077,-95.641533,NAM
Z00098,30.9183,30.780864,EMEA
Z00099,-27.820215,153.668102,APAC
Z00100,49.913681,3.9251,EMEA
Z00101,53.854821,5.964939,EMEA
Z00102,10.893218,107.382525,APAC
Z00103,38.922276,124.702359,APAC
Z00104,21.127494,116.370454,APAC
Z00105,51.529613,0.586365,EMEA
Z00106,38.593626,-89.170734,NAM
Z00107,47.911648,17.695705,EMEA
Z00108,38.582171,-93.119416,NAM
Z00109,41.840857,-2.582851,EMEA
Z00110,34.924957,136.283999,APAC
Z00111,16.432045,77.892031,APAC
Z00112,10.997419,106.877232,APAC
Z00113,32.950957,135.210495,APAC
Z00114,43.502731,2.251735,EMEA
Z00115,45.424392,10.221635,EMEA
Z00116,29.970602,34.097242,EMEA
Z00117,34.138983,-110.115095,NAM
Z00118,35.063788,-80.11253,NAM
Z00119,-34.659666,-57.33967,LATAM
Z00120,34.749068,135.598873,APAC
Z00121,4.676242,101.284969,APAC
Z00122,28.625045,48.221528,EMEA
Z00123,13.205985,77.888255,APAC
Z00124,51.68377,0.739857,EMEA
Z00125,47.850126,18.236334,EMEA
Z00126,33.80898,135.878281,APAC
Z00127,15.176679,120.722481,APAC
Z00128,43.376604,3.640749,EMEA
Z00129,53.654351,-8.196819,EMEA
Z00130,54.762003,-6.498867,EMEA
Z00131,38.990979,-76.960833,NAM
Z00132,49.455628,2.32303,EMEA
Z00133,21.858941,72.045985,APAC
Z00134,12.187585,107.598807,APAC
Z00135,-35.075836,-58.502041,LATAM
Z00136,39.343019,-74.075436,NAM
Z00137,46.574653,-125.528845,NAM
Z00138,37.204647,24.51769,EMEA
Z00139,22.545348,71.597326,APAC
Z00140,19.926131,-102.711779,LATAM
Z00141,45.725885,-122.452473,NAM
Z00142,-35.523472,-58.50362,LATAM
Z00143,10.235721,106.744533,APAC
Z00144,24.614331,73.219663,APAC
Z00145,20.968381,71.779692,APAC
Z00146,39.480422,-94.32402,NAM
Z00147,-37.577538,175.076902,APAC
Z00148,33.276563,135.09001,APAC
Z00149,33.232461,-111.734444,NAM
Z00150,33.712923,135.467071,APAC
Z00151,3.024064,101.183827,APAC
Z00152,-36.018034,174.894656,APAC
Z00153,46.154356,9.530157,EMEA
Z00154,41.714576,-87.591052,NAM
Z00155,-5.899921,107.004289,APAC
Z00156,-23.323585,-47.080906,LATAM
Z00157,52.897959,13.663195,EMEA
Z00158,42.364202,4.993361,EMEA
Z00159,34.388292,50.011146,EMEA
Z00160,21.736537,115.095815,APAC
Z00161,44.97123,10.487315,EMEA
Z00162,-27.553522,151.79684,APAC
Z00163,39.75437,-72.698844,NAM
Z00164,53.846191,-8.916777,EMEA
Z00165,22.795583,88.679477,APAC
Z00166,40.584737,116.682909,APAC
