part_id,P_k
P0001,99.72
P0002,140.2
P0003,232.73
P0004,283.95
P0005,146.78
P0006,290.3
P0007,27.57
P0008,172.66
P0009,65.53
P0010,263.83
P0011,156.83
P0012,637.61
P0013,173.67
P0014,176.66
P0015,204.33
P0016,299.48
P0017,116.37
P0018,50.99
P0019,64.09
P0020,237.3
P0021,697.58
P0022,71.19
P0023,301.02
P0024,42.84
P0025,289.0
P0026,100.91
P0027,146.68
P0028,501.02
P0029,1020.29
P0030,111.81
P0031,59.3
P0032,65.82
P0033,207.16
P0034,129.87
P0035,94.92
P0036,63.5
P0037,128.48
P0038,83.36
P0039,397.82
P0040,110.09
P0041,562.7
P0042,348.91
P0043,313.19
P0044,195.12
P0045,46.29
P0046,319.41
P0047,469.95
P0048,122.16
P0049,43.11
P0050,51.15
P0051,58.2
P0052,51.26
P0053,660.6
P0054,160.58
P0055,382.59
P0056,73.58
P0057,333.06
P0058,247.26
P0059,356.75
P0060,77.35
P0061,120.2
P0062,64.13
P0063,34.84
P0064,47.92
P0065,122.17
P0066,95.98
P0067,60.5
P0068,69.06
P0069,316.78
P0070,225.31
P0071,298.25
P0072,216.03
P0073,146.95
P0074,350.41
P0075,143.76
P0076,114.9
P0077,169.72
P0078,272.4
P0079,64.99
P0080,108.05
P0081,53.19
P0082,162.61
P0083,113.21
P0084,522.73
P0085,55.0
P0086,145.38
P0087,661.63
P0088,990.33
P0089,16.87
P0090,209.99
P0091,34.79
P0092,67.67
P0093,237.86
P0094,222.01
P0095,1132.53
P0096,98.57
P0097,246.93
P0098,257.58
P0099,336.12
P0100,97.39
P0101,389.19
P0102,44.94
P0103,79.45
P0104,139.0
P0105,294.87
P0106,89.56
P0107,201.05
P0108,846.95
P0109,48.91
P0110,196.19
P0111,166.68
P0112,14.21
P0113,41.69
P0114,99.65
P0115,126.51
P0116,40.19
P0117,102.98
P0118,182.54
P0119,182.68
P0120,217.03
P0121,157.56
P0122,536.06
P0123,45.59
P0124,437.86
P0125,382.01
P0126,213.84
P0127,504.94
P0128,82.3
P0129,336.37
P0130,332.83
P0131,39.84
P0132,97.98
P0133,43.75
P0134,127.54
P0135,59.81
P0136,82.73
P0137,65.93
P0138,290.71
P0139,254.81
P0140,374.66
P0141,302.1
P0142,63.49
P0143,96.7
P0144,156.51
P0145,206.14
P0146,104.3
P0147,107.95
P0148,139.92
P0149,335.01
P0150,61.47
