hub_id,anchor_id,anchor_city,lat,lon,region_code,T_j,B_j
H001,IN_GJ_AHMEDABAD,Ahmedabad,23.0225,72.5714,APAC,1,90
H002,NL_AMSTERDAM,Amsterdam,52.3676,4.9041,EMEA,1,53
H003,GR_ATHENS,Athens,37.9838,23.7275,EMEA,0,53
H004,NZ_AUCKLAND,Auckland,-36.8485,174.7633,APAC,1,90
H005,ES_BARCELONA,Barcelona,41.3851,2.1734,EMEA,1,128
H006,CN_BEIJING,Beijing,39.9042,116.4074,APAC,1,53
H007,IN_KA_BENGALURU,Bengaluru,12.9716,77.5946,APAC,1,90
H008,DE_BERLIN,Berlin,52.52,13.405,EMEA,0,90
H009,AU_QLD_BRISBANE,Brisbane,-27.4698,153.0251,APAC,1,90
H010,HU_BUDAPEST,Budapest,47.4979,19.0402,EMEA,1,90
H011,AR_BA_BUENOS_AIRES,Buenos Aires,-34.6037,-58.3816,LATAM,1,53
H012,EG_CAIRO,Cairo,30.0444,31.2357,EMEA,1,53
H013,ZA_CAPE_TOWN,Cape Town,-33.9249,18.4241,EMEA,0,90
H014,MA_CASABLANCA,Casablanca,33.5731,-7.5898,EMEA,1,90
H015,US_NC_CHARLOTTE,Charlotte,35.2271,-80.8431,NAM,1,90
H016,US_IL_CHICAGO,Chicago,41.8781,-87.6298,NAM,0,90
H017,US_TX_DALLAS,Dallas,32.7767,-96.797,NAM,1,90
H018,IE_DUBLIN,Dublin,53.3498,-6.2603,EMEA,0,53
H019,MX_JAL_GUADALAJARA,Guadalajara,20.6597,-103.3496,LATAM,0,128
H020,VN_HO_CHI_MINH_CITY,Ho Chi Minh City,10.8231,106.6297,APAC,0,53
H021,HK_HONG_KONG,Hong Kong,22.3193,114.1694,APAC,0,90
H022,IN_TG_HYDERABAD,Hyderabad,17.385,78.4867,APAC,1,90
H023,ID_JAKARTA,Jakarta,-6.2088,106.8456,APAC,1,53
H024,US_MO_KANSAS_CITY,Kansas City,39.0997,-94.5786,NAM,0,128
H025,IN_WB_KOLKATA,Kolkata,22.5726,88.3639,APAC,1,90
H026,MY_KUALA_LUMPUR,Kuala Lumpur,3.139,101.6869,APAC,1,128
H027,KW_KUWAIT_CITY,Kuwait City,29.3759,47.9774,EMEA,1,128
H028,NG_LAGOS,Lagos,6.5244,3.3792,EMEA,0,53
H029,GB_LONDON,London,51.5074,-0.1278,EMEA,0,90
H030,ES_MADRID,Madrid,40.4168,-3.7038,EMEA,0,53
H031,PH_MANILA,Manila,14.5995,120.9842,APAC,1,90
H032,IT_MILAN,Milan,45.4642,9.19,EMEA,1,53
H033,US_MN_MINNEAPOLIS,Minneapolis,44.9778,-93.265,NAM,1,90
H034,IN_MH_MUMBAI,Mumbai,19.076,72.8777,APAC,1,128
H035,US_NY_NEW_YORK,New York,40.7128,-74.006,NAM,0,128
H036,JP_OSAKA,Osaka,34.6937,135.5023,APAC,1,53
H037,NO_OSLO,Oslo,59.9139,10.7522,EMEA,1,53
H038,FR_PARIS,Paris,48.8566,2.3522,EMEA,1,90
H039,US_AZ_PHOENIX,Phoenix,33.4484,-112.074,NAM,1,53
H040,US_OR_PORTLAND,Portland,45.5152,-122.6784,NAM,1,90
H041,CZ_PRAGUE,Prague,50.0755,14.4378,EMEA,1,53
H042,BR_SP_SAO_PAULO,Sao Paulo,-23.5505,-46.6333,LATAM,1,90
H043,US_WA_SEATTLE,Seattle,47.6062,-122.3321,NAM,1,90
H044,KR_SEOUL,Seoul,37.5665,126.978,APAC,1,53
H045,US_MO_ST_LOUIS,St Louis,38.627,-90.1994,NAM,0,53
H046,AU_NSW_SYDNEY,Sydney,-33.8688,151.2093,APAC,1,90
H047,IR_TEHRAN,Tehran,35.6892,51.389,EMEA,1,128
H048,JP_TOKYO,Tokyo,35.6762,139.6503,APAC,1,128
H049,AT_VIENNA,Vienna,48.2082,16.3738,EMEA,1,90
H050,US_DC_WASHINGTON_DC,Washington DC,38.9072,-77.0369,NAM,0,128
