part_id,current_home_hub
P0001,H017
P0002,H013
P0003,H009
P0004,H007
P0005,H014
P0006,H006
P0007,H010
P0008,H018
P0009,H013
P0010,H009
P0011,H006
P0012,H015
P0013,H009
P0014,H011
P0015,H014
P0016,H014
P0017,H006
P0018,H007
P0019,H007
P0020,H014
P0021,H014
P0022,H007
P0023,H020
P0024,H001
P0025,H014
P0026,H006
P0027,H015
P0028,H010
P0029,H017
P0030,H014
P0031,H014
P0032,H011
P0033,H014
P0034,H011
P0035,H015
P0036,H006
P0037,H011
P0038,H011
P0039,H013
P0040,H020
P0041,H014
P0042,H016
P0043,H020
P0044,H017
P0045,H007
P0046,H011
P0047,H017
P0048,H014
P0049,H007
P0050,H016
P0051,H007
P0052,H011
P0053,H015
P0054,H015
P0055,H016
P0056,H013
P0057,H018
P0058,H010
P0059,H001
P0060,H020
P0061,H009
P0062,H017
P0063,H014
P0064,H001
P0065,H001
P0066,H015
P0067,H015
P0068,H001
P0069,H018
P0070,H016
P0071,H013
P0072,H003
P0073,H010
P0074,H010
P0075,H020
P0076,H011
P0077,H010
P0078,H001
P0079,H017
P0080,H001
P0081,H003
P0082,H001
P0083,H006
P0084,H011
P0085,H018
P0086,H015
P0087,H001
P0088,H001
P0089,H009
P0090,H013
P0091,H014
P0092,H007
P0093,H013
P0094,H017
P0095,H010
P0096,H018
P0097,H006
P0098,H013
P0099,H014
P0100,H013
P0101,H016
P0102,H007
P0103,H016
P0104,H003
P0105,H018
P0106,H015
P0107,H016
P0108,H003
P0109,H011
P0110,H020
P0111,H003
P0112,H007
P0113,H020
P0114,H014
P0115,H018
P0116,H009
P0117,H011
P0118,H007
P0119,H013
P0120,H006
P0121,H020
P0122,H001
P0123,H015
P0124,H014
P0125,H001
P0126,H018
P0127,H013
P0128,H016
P0129,H017
P0130,H006
P0131,H020
P0132,H018
P0133,H010
P0134,H016
P0135,H007
P0136,H015
P0137,H003
P0138,H009
P0139,H007
P0140,H015
P0141,H020
P0142,H016
P0143,H013
P0144,H010
P0145,H011
P0146,H003
P0147,H015
P0148,H016
P0149,H020
P0150,H007
