zip_id,part_id,Q_ik,b_ik
Z00001,P0012,1,1
Z00001,P0016,1,4
Z00001,P0040,1,1
Z00001,P0044,1,4
Z00001,P0050,1,2
Z00001,P0064,1,1
Z00001,P0070,1,1
Z00001,P0088,1,2
Z00001,P0103,1,2
Z00001,P0111,1,2
Z00001,P0120,1,2
Z00001,P0146,1,3
Z00001,P0148,1,1
Z00002,P0002,1,3
Z00002,P0005,1,2
Z00002,P0014,1,1
Z00002,P0019,1,3
Z00002,P0023,1,2
Z00002,P0024,1,5
Z00002,P0025,1,4
Z00002,P0026,1,2
Z00002,P0030,1,2
Z00002,P0040,1,2
Z00002,P0050,1,4
Z00002,P0063,1,2
Z00002,P0064,1,4
Z00002,P0067,1,1
Z00002,P0093,1,2
Z00002,P0104,1,1
Z00002,P0110,1,3
Z00002,P0111,1,1
Z00002,P0123,1,4
Z00002,P0148,1,1
Z00003,P0002,1,1
Z00003,P0009,1,2
Z00003,P0010,1,2
Z00003,P0012,1,1
Z00003,P0020,1,2
Z00003,P0022,1,4
Z00003,P0027,1,2
Z00003,P0045,1,6
Z00003,P0049,1,4
Z00003,P0063,1,2
Z00003,P0073,1,1
Z00003,P0078,1,4
Z00003,P0146,1,1
Z00003,P0148,1,1
Z00004,P0040,1,3
Z00004,P0078,1,3
Z00004,P0091,1,1
Z00004,P0133,1,2
Z00004,P0143,1,1
Z00004,P0147,1,3
Z00004,P0148,1,4
Z00004,P0149,1,1
Z00005,P0005,1,1
Z00005,P0009,1,3
Z00005,P0022,1,3
Z00005,P0039,1,3
Z00005,P0044,1,3
Z00005,P0056,1,4
Z00005,P0060,1,3
Z00005,P0064,1,6
Z00005,P0067,1,1
Z00005,P0107,1,4
Z00005,P0142,1,7
Z00005,P0146,1,4
Z00006,P0010,1,1
Z00006,P0013,1,3
Z00006,P0051,1,1
Z00006,P0080,1,4
Z00006,P0086,1,3
Z00006,P0089,1,4
Z00006,P0099,1,2
Z00006,P0100,1,2
Z00006,P0101,1,3
Z00006,P0108,1,2
Z00006,P0115,1,6
Z00006,P0116,1,2
Z00006,P0124,1,2
Z00006,P0134,1,3
Z00006,P0137,1,2
Z00006,P0147,1,2
Z00006,P0149,1,2
Z00007,P0013,1,4
Z00007,P0015,1,2
Z00007,P0022,1,4
