part_id,current_home_hub
P0001,H002
P0002,H010
P0003,H002
P0004,H010
P0005,H005
P0006,H002
P0007,H006
P0008,H010
P0009,H006
P0010,H010
P0011,H004
P0012,H004
P0013,H007
P0014,H010
P0015,H005
P0016,H002
P0017,H006
P0018,H004
P0019,H007
P0020,H006
P0021,H006
P0022,H006
P0023,H002
P0024,H010
P0025,H010
P0026,H002
P0027,H004
P0028,H006
P0029,H006
P0030,H007
P0031,H006
P0032,H004
P0033,H002
P0034,H007
P0035,H001
P0036,H010
P0037,H002
P0038,H004
P0039,H001
P0040,H005
P0041,H006
P0042,H002
P0043,H006
P0044,H005
P0045,H004
P0046,H001
P0047,H010
P0048,H004
P0049,H007
P0050,H006
P0051,H005
P0052,H006
P0053,H004
P0054,H010
P0055,H005
P0056,H006
P0057,H001
P0058,H004
P0059,H004
P0060,H002
P0061,H002
P0062,H004
P0063,H002
P0064,H010
P0065,H001
P0066,H006
P0067,H006
P0068,H007
P0069,H002
P0070,H004
P0071,H006
P0072,H006
P0073,H006
P0074,H002
P0075,H001
P0076,H007
P0077,H010
P0078,H010
P0079,H005
P0080,H006
P0081,H002
P0082,H005
P0083,H002
P0084,H007
P0085,H007
P0086,H005
P0087,H005
P0088,H010
P0089,H001
P0090,H006
P0091,H001
P0092,H004
P0093,H005
P0094,H004
P0095,H006
P0096,H001
P0097,H002
P0098,H006
P0099,H005
P0100,H010
P0101,H002
P0102,H007
P0103,H001
P0104,H004
P0105,H004
P0106,H005
P0107,H001
P0108,H004
P0109,H001
P0110,H010
P0111,H001
P0112,H001
P0113,H002
P0114,H001
P0115,H001
P0116,H001
P0117,H005
P0118,H002
P0119,H004
P0120,H010
P0121,H007
P0122,H010
P0123,H004
P0124,H006
P0125,H005
P0126,H005
P0127,H010
P0128,H007
P0129,H010
P0130,H010
P0131,H006
P0132,H004
P0133,H006
P0134,H004
P0135,H010
P0136,H010
P0137,H006
P0138,H010
P0139,H001
P0140,H005
P0141,H001
P0142,H010
P0143,H004
P0144,H005
P0145,H010
P0146,H004
P0147,H010
P0148,H006
P0149,H002
P0150,H004
