zip_id,part_id,Q_ik,b_ik
Z00001,P0005,1,2
Z00001,P0013,1,2
Z00001,P0026,1,2
Z00001,P0044,1,4
Z00001,P0073,1,3
Z00001,P0074,1,3
Z00001,P0083,1,3
Z00001,P0090,1,1
Z00001,P0095,1,1
Z00001,P0100,1,2
Z00001,P0103,1,2
Z00001,P0123,1,2
Z00001,P0127,1,3
Z00001,P0138,1,3
Z00001,P0150,1,1
Z00002,P0011,1,4
Z00002,P0024,1,3
Z00002,P0025,1,2
Z00002,P0026,1,3
Z00002,P0042,1,2
Z00002,P0047,1,1
Z00002,P0058,1,2
Z00002,P0065,1,2
Z00002,P0073,1,4
Z00002,P0101,1,4
Z00002,P0106,1,1
Z00002,P0114,1,2
Z00002,P0128,1,3
Z00002,P0147,1,1
Z00003,P0003,1,3
Z00003,P0011,1,2
Z00003,P0016,1,2
Z00003,P0023,1,3
Z00003,P0026,1,5
Z00003,P0033,1,3
Z00003,P0053,1,1
Z00003,P0066,1,2
Z00003,P0092,1,2
Z00003,P0093,1,1
Z00003,P0108,1,3
Z00003,P0116,1,1
Z00003,P0117,1,4
Z00003,P0127,1,5
Z00003,P0128,1,2
Z00003,P0133,1,2
Z00003,P0135,1,1
Z00003,P0146,1,4
Z00004,P0009,1,3
Z00004,P0023,1,5
Z00004,P0028,1,1
Z00004,P0032,1,2
Z00004,P0043,1,1
Z00004,P0056,1,2
Z00004,P0057,1,1
Z00004,P0060,1,5
Z00004,P0067,1,2
Z00004,P0074,1,5
Z00004,P0101,1,3
Z00004,P0121,1,3
Z00004,P0124,1,1
Z00004,P0133,1,2
Z00004,P0147,1,4
Z00005,P0005,1,2
Z00005,P0015,1,2
Z00005,P0017,1,8
Z00005,P0019,1,3
Z00005,P0022,1,3
Z00005,P0024,1,3
Z00005,P0033,1,2
Z00005,P0036,1,1
Z00005,P0056,1,1
Z00005,P0063,1,4
Z00005,P0068,1,3
Z00005,P0078,1,3
Z00005,P0082,1,1
Z00005,P0090,1,2
Z00005,P0103,1,1
Z00005,P0127,1,3
Z00006,P0015,1,4
Z00006,P0019,1,5
Z00006,P0025,1,6
Z00006,P0032,1,2
Z00006,P0047,1,2
Z00006,P0060,1,2
Z00006,P0068,1,1
Z00006,P0074,1,2
Z00006,P0089,1,3
Z00006,P0092,1,1
Z00006,P0096,1,4
Z00006,P0121,1,6
Z00006,P0123,1,3
Z00006,P0131,1,1
Z00006,P0136,1,2
Z00007,P0005,1,2
Z00007,P0012,1,2
Z00007,P0014,1,2
Z00007,P0017,1,3
Z00007,P0024,1,2
Z00007,P0026,1,1
Z00007,P0056,1,5
Z00007,P0059,1,2
Z00007,P0078,1,3
Z00007,P0085,1,2
Z00007,P0097,1,1
Z00007,P0099,1,2
Z00007,P0132,1,2
Z00007,P0139,1,1
Z00007,P0150,1,2
Z00008,P0007,1,2
Z00008,P0008,1,2
Z00008,P0017,1,2
