hub_id,anchor_id,anchor_city,lat,lon,region_code,T_j,B_j
H001,IN_GJ_AHMEDABAD,Ahmedabad,23.0225,72.5714,APAC,1,90
H002,AR_BA_BUENOS_AIRES,Buenos Aires,-34.6037,-58.3816,LATAM,1,90
H003,PT_LISBON,Lisbon,38.7223,-9.1393,EMEA,0,53
H004,IN_DL_NEW_DELHI,New Delhi,28.6139,77.209,APAC,1,90
H005,AU_WA_PERTH,Perth,-31.9505,115.8605,APAC,1,53
H006,US_UT_SALT_LAKE_CITY,Salt Lake City,40.7608,-111.891,NAM,1,53
H007,SE_STOCKHOLM,Stockholm,59.3293,18.0686,EMEA,1,128
H008,AU_NSW_SYDNEY,Sydney,-33.8688,151.2093,APAC,0,90
H009,PL_WARSAW,Warsaw,52.2297,21.0122,EMEA,0,128
H010,US_DC_WASHINGTON_DC,Washington DC,38.9072,-77.0369,NAM,1,90
