part_id,P_k
P0001,102.74
P0002,133.67
P0003,58.36
P0004,50.43
P0005,184.34
P0006,26.45
P0007,119.38
P0008,205.38
P0009,57.67
P0010,51.42
P0011,70.6
P0012,250.85
P0013,124.56
P0014,26.02
P0015,95.64
P0016,348.68
P0017,339.33
P0018,246.83
P0019,113.0
P0020,26.61
P0021,163.08
P0022,119.49
P0023,150.02
P0024,561.0
P0025,165.17
P0026,179.53
P0027,241.35
P0028,111.13
P0029,76.99
P0030,72.1
P0031,279.2
P0032,220.47
P0033,90.11
P0034,395.07
P0035,165.26
P0036,41.91
P0037,241.52
P0038,123.48
P0039,42.34
P0040,222.65
P0041,102.65
P0042,98.35
P0043,238.07
P0044,19.46
P0045,44.35
P0046,95.54
P0047,175.19
P0048,76.94
P0049,57.09
P0050,54.3
P0051,125.97
P0052,257.02
P0053,37.96
P0054,21.53
P0055,107.13
P0056,99.27
P0057,61.78
P0058,242.79
P0059,288.82
P0060,84.26
P0061,102.68
P0062,233.85
P0063,95.14
P0064,39.6
P0065,131.74
P0066,62.04
P0067,187.62
P0068,88.85
P0069,118.09
P0070,223.43
P0071,125.12
P0072,79.12
P0073,56.59
P0074,658.92
P0075,379.02
P0076,36.17
P0077,54.3
P0078,236.81
P0079,82.44
P0080,141.92
P0081,291.27
P0082,157.21
P0083,124.63
P0084,91.41
P0085,129.52
P0086,198.28
P0087,667.09
P0088,365.09
P0089,117.0
P0090,319.43
P0091,155.57
P0092,36.91
P0093,127.19
P0094,342.7
P0095,81.85
P0096,325.07
P0097,106.23
P0098,143.38
P0099,47.92
P0100,902.17
P0101,210.55
P0102,346.97
P0103,93.15
P0104,37.51
P0105,416.58
P0106,73.77
P0107,619.24
P0108,120.02
P0109,604.09
P0110,72.64
P0111,28.62
P0112,262.41
P0113,131.68
P0114,139.66
P0115,359.78
P0116,63.29
P0117,43.66
P0118,48.91
P0119,30.81
P0120,27.49
P0121,44.03
P0122,58.27
P0123,92.63
P0124,46.93
P0125,122.36
P0126,270.36
P0127,111.62
P0128,197.02
P0129,59.15
P0130,173.31
P0131,201.41
P0132,73.35
P0133,32.72
P0134,108.51
P0135,125.93
P0136,451.88
P0137,85.91
P0138,533.32
P0139,14.22
P0140,91.97
P0141,77.52
P0142,84.98
P0143,74.09
P0144,113.57
P0145,511.35
P0146,103.1
P0147,340.65
P0148,108.18
P0149,129.64
P0150,14.19
